id;locale;code;gmt;order_fee;user_cash
230420941;ID;blogs;2016/3/28 18:04;0;0
230420941;ID;blogs;2016/3/28 18:01;0;0
615397865;US;blogs;2016/3/28 17:54;0;0
469075788;US;blogs;2016/3/28 16:07;0;0
973555970;AE;blogs;2016/3/28 13:19;0;0
206929880;MY;blogs;2016/3/28 11:27;0;0
206929880;MY;blogs;2016/3/28 11:25;0;0
204054924;SG;blogs;2016/3/28 10:32;0;0
204054924;SG;blogs;2016/3/28 10:31;0;0
604970466;SG;blogs;2016/3/28 10:26;0;0
897775940;MY;blogs;2016/3/28 4:46;0;0
511856234;US;blogs;2016/3/27 22:30;0;0
202456061;GB;ads;2016/3/27 22:20;759.396;759.396
924533532;US;blogs;2016/3/27 20:02;0;0
144017408;MY;blogs;2016/3/27 17:55;0;0
144017408;MY;blogs;2016/3/27 17:53;0;0
143528979;MY;blogs;2016/3/27 17:50;0;0
143528979;MY;blogs;2016/3/27 17:50;0;0
27757556;AE;blogs;2016/3/27 17:41;0;0
58959718;US;ads;2016/3/27 16:43;632.83;632.83
136421553;MY;blogs;2016/3/27 15:56;0;0
136421553;MY;blogs;2016/3/27 15:53;0;0
965134701;TW;blogs;2016/3/27 14:31;0;0
121027711;SG;blogs;2016/3/27 11:38;0;0
807978616;AE;blogs;2016/3/26 21:53;0;40.80115
973555970;AE;blogs;2016/3/26 21:44;63.283;63.283
973555970;AE;blogs;2016/3/26 21:26;0;0
50002766;PH;blogs;2016/3/26 15:46;0;0
50002766;PH;blogs;2016/3/26 15:45;0;0
900460236;US;blogs;2016/3/26 14:26;0;0
101417679;IN;blogs;2016/3/26 13:29;0;0
304308898;ID;blogs;2016/3/26 10:39;0;0
304308898;ID;blogs;2016/3/26 10:36;0;0
245742330;DE;blogs;2016/3/26 1:42;0;0
946050337;IN;blogs;2016/3/25 23:01;0;0
953437563;SG;blogs;2016/3/25 20:26;67.71281;67.71281
953437563;SG;blogs;2016/3/25 20:25;67.71281;67.71281
953437563;SG;blogs;2016/3/25 20:23;67.71281;67.71281
953437563;SG;blogs;2016/3/25 20:21;67.71281;67.71281
969725236;TH;blogs;2016/3/25 17:37;0;0
983566898;CA;blogs;2016/3/25 14:36;0;56.4939
883515039;AE;blogs;2016/3/25 14:03;0;0
953437563;SG;blogs;2016/3/25 13:10;0;0
953437563;SG;blogs;2016/3/25 13:06;13.479279;13.479279
953437563;SG;blogs;2016/3/25 13:03;0;0
